STAFF_ID;HOME_INSTITUTION_ID;HOME_INSTITUTION_CTRY_CD;ENTERPRISE_NAME;ENTERPRISE_SIZE_VALUE;ENTERPRISE_TYPE_CD;ENTERPRISE_CTRY_CD;TEACHER_GENDER_CD;TEACHER_NATIONALITY_CD;TEACHER_TEACHING_AREA_CD;TEACHER_SENIORITY_CD;HOST_INSTITUTION_CODE;HOST_INSTITUTION_CTRY_CD;HOST_SUBJECT_AREA_CD;TEACHER_LENGTH_DAYS_VALUE;TEACHER_LENGHT_HRS_VALUE;TEACHER_VISIT_START_DATE;TEACHING_LEVEL_CD;TEACHING_LANGUAGE_CD;TEACHER_SPECIAL_NEEDS_GRT_AMT;TEACHER_SUBSISTANCE_GRT_AMT;TEACHER_TRAVEL_COST_AMT;TEACHER_TOTAL_GRT_AMT;TEACHER_FIRST_VISIT_FLAG;ENTERPRISE_WORK_CAT_CD
GR12314390019;G  THESSAL12;GR; ? Unknown ?;?;???;???;M;GR;620;S;P  BRAGANC01;PT;620;7;5;May-13;1;EN;0;735;320;1055;Y;?
GR12314390020;G  THESSAL12;GR; ? Unknown ?;?;???;???;F;GR;640;J;RO TIMISOA03;RO;640;4;5;May-13;1;EN;0;336;356.01;692.01;Y;?
GR12314390021;G  THESSAL12;GR; ? Unknown ?;?;???;???;M;GR;640;S;RO TIMISOA03;RO;640;4;5;May-13;1;EN;0;336;356.01;692.01;Y;?
GR12314390022;G  THESSAL12;GR; ? Unknown ?;?;???;???;M;GR;640;I;RO TIMISOA03;RO;640;4;5;May-13;1;EN;0;336;338.01;674.01;Y;?
GR12314390023;G  THESSAL12;GR; ? Unknown ?;?;???;???;M;GR;640;J;RO TIMISOA03;RO;640;4;5;May-13;1;EN;0;336;338.01;674.01;Y;?
GR12314390024;G  THESSAL12;GR; ? Unknown ?;?;???;???;M;GR;640;S;RO TIMISOA03;RO;640;4;5;May-13;1;EN;0;336;356.01;692.01;Y;?
GR12314390025;G  THESSAL12;GR; ? Unknown ?;?;???;???;F;GR;624;S;I  UDINE01;IT;624;7;5;May-13;1;EN;0;931;217.34;1148.34;Y;?
GR12314390026;G  THESSAL12;GR; ? Unknown ?;?;???;???;F;GR;624;J;I  UDINE01;IT;624;7;5;May-13;1;EN;0;931;216.59;1147.59;Y;?
GR12314390027;G  THESSAL12;GR; ? Unknown ?;?;???;???;M;GR;723;I;UK COLERAI01;UK;723;7;6;Mar-13;1;EN;0;1127;592.55;1719.55;Y;?
GR12314390028;G  THESSAL12;GR; ? Unknown ?;?;???;???;M;GR;48;S;BG PLOVDIV01;BG;48;7;5;Jun-13;1;EN;0;539;53;592;Y;?
GR12314390029;G  THESSAL12;GR; ? Unknown ?;?;???;???;M;GR;34;S;PL RADOM01;PL;34;5;5;Jun-13;1;EN;0;455;465;920;N;?
GR12314390031;G  THESSAL12;GR; ? Unknown ?;?;???;???;M;GR;48;J;F  PARIS013;FR;48;4;5;Jun-13;M;EN;0;560;353;913;Y;?
GR12314390034;G  THESSAL12;GR; ? Unknown ?;?;???;???;F;GR;761;J;N  TRONDHE06;NO;761;7;6;Sep-13;1;EN;0;1274;406.25;1680.25;N;?
GR12314390035;G  THESSAL12;GR; ? Unknown ?;?;???;???;F;GR;761;S;N  TRONDHE06;NO;761;7;5;Sep-13;1;EN;0;1274;406.25;1680.25;N;?
